Inf,Club,Club Job,Preferred Job,Salary,Rating,WR,Tac Knw,Att,Def,Men,Tec,TCo,Mot,Det,Dis,Personality,Name
FrA,,-,Technical Director,-,,,2,7,6,4,6,2,4,13,13,Professional,Liam O'Donovan
,S.D. Logroñés,Chief Scout,Scout,$250 p/w,,,6,5,2,1,2,6,3,13,12,Balanced,José Antonio Villanueva
,Red Star FC,Under 19s Head Coach,Coach,"$1,100 p/w",,,9,8,12,10,9,9,16,16,14,Resolute,William Edjenguélé
FrA,,-,Physio,-,,,4,3,3,2,3,4,6,12,14,Fickle,Craig Freeman
FrA,,-,General Manager,-,,,1,2,2,3,3,3,6,12,17,Balanced,Jamil Dem
FrA,,-,Scout,-,,,5,1,1,1,1,4,1,13,12,Fairly Professional,Asier Arranz
FrA,,-,Coach,-,,,6,7,7,7,7,6,7,12,14,Fairly Ambitious,Álex Cruz
FrA,,-,Fitness Coach,-,,,6,6,3,6,4,4,6,12,18,Balanced,Kai Thomas
FrA,,-,Loan Manager,-,,,3,7,3,2,4,3,4,13,12,Balanced,Alan Neville
FrA,,-,Head of Youth Development,-,,,3,5,9,4,1,3,4,16,14,Fairly Determined,Maximilian Hain
FrA,,-,Coach,-,,,6,9,8,6,3,3,9,14,17,Fairly Loyal,Philipp Koch
FrA,,-,Goalkeeping Coach,-,,,4,1,7,6,1,2,7,13,14,Light-Hearted,Samba Ba
FrA,,-,Loan Manager,-,,,7,2,3,2,10,8,13,12,5,Unambitious,Anthony Maher
FrA,,-,Head of Youth Development,-,,,4,4,3,3,6,4,10,13,13,Balanced,Antonio Barragán
FrA,,-,Loan Manager,-,,,3,1,1,2,1,2,5,17,17,Fairly Determined,Sven Michel
FrA,,-,Loan Manager,-,,,5,4,7,2,5,6,12,12,13,Balanced,Stephen Lee
FrA,,-,Loan Manager,-,,,5,4,10,5,4,7,8,15,13,Unambitious,Jack McNamee
FrA,,-,Assistant Coach,-,,,3,9,4,5,7,5,14,13,13,Balanced,David Torres
FrA,,-,General Manager,-,,,3,2,8,5,3,6,12,15,11,Resolute,Borja
FrA,,-,General Manager,-,,,4,4,3,3,5,6,6,13,13,Fairly Loyal,Fabio Leutenecker
FrA,,-,General Manager,-,,,2,8,7,3,7,3,4,13,13,Fairly Professional,Borja Rubiato
FrA,,-,Goalkeeping Coach,-,,,2,4,2,4,1,2,3,15,13,Resolute,Mathieu Gorgelin
FrA,,-,Goalkeeping Coach,-,,,3,1,2,5,4,4,7,13,14,Fairly Professional,Joris Delle
FrA,,-,Head of Youth Development,-,,,6,4,2,3,4,6,12,12,10,Balanced,Patrick Breitkreuz
FrA,,-,Physio,-,,,3,2,3,2,1,3,8,19,14,Determined,Craig Williamson
Ama,Casa Corval,Assistant Coach,Assistant Coach,N/A,,,3,8,7,2,5,5,6,20,14,Determined,Filipe Guedes
FrA,,-,Assistant Coach,-,,,5,3,10,8,6,4,6,12,13,Spirited,Steve Breitkreuz
FrA,,-,General Manager,-,,,3,1,2,2,1,2,1,12,14,Balanced,Jérôme Scolan
FrA,,-,Head Coach,-,,,4,8,2,4,7,2,7,13,16,Fairly Ambitious,Sören Bertram
FrA,,-,Scout,-,,,4,2,5,1,1,5,2,15,12,Fairly Determined,Kike Royo
FrA,,-,Physio,-,,,6,3,1,3,3,5,5,13,15,Fairly Professional,Miguel Jesús Ceballos
FrA,,-,Scout,-,,,5,4,1,3,2,3,1,14,13,Balanced,Édgar Méndez
FrA,,-,Assistant Coach,-,,,7,8,2,7,6,5,8,15,17,Resolute,Giacomo Tulli
FrA,,-,Sports Scientist,-,,,3,1,2,1,4,2,5,15,17,Fairly Determined,Neil Connelly
FrA,,-,Assistant Coach,-,,,5,4,8,4,5,5,9,12,14,Balanced,Daniel Hofstetter
FrA,,-,Assistant Coach,-,,,6,7,2,3,7,4,12,13,12,Balanced,Marco Königs
FrA,,-,Head of Youth Development,-,,,5,5,5,5,7,5,7,13,13,Balanced,Michael Langer
FrA,,-,Coach,-,,,7,5,3,7,8,5,13,18,13,Determined,David Wheeler
FrA,,-,Loan Manager,-,,,6,4,3,4,7,2,11,13,13,Balanced,Brian Graham
,Lusitânia Açores,Assistant Coach,Assistant Coach,$130 p/w,,,9,8,7,4,8,8,13,12,9,Unambitious,André Almeida
FrA,,-,Assistant Coach,-,,,5,3,7,5,3,5,12,4,13,Balanced,Julian Wolff
FrA,,-,Coach,-,,,6,9,3,8,5,4,8,13,18,Balanced,Marc-Philipp Zimmermann
FrA,,-,Loan Manager,-,,,3,2,6,4,5,5,4,20,12,Determined,Ewan Rankin
Ama,Vigor Mocidade,Assistant Coach,Assistant Coach,N/A,,,4,5,6,7,6,6,13,11,12,Mercenary,António Cotovio
FrA,,-,Loan Manager,-,,,6,1,3,3,5,6,6,20,16,Determined,Brian Watson
FrA,,-,General Manager,-,,,1,8,8,6,3,6,6,17,15,Fairly Determined,Philip Semlits
,Moura AC,Assistant Coach,Assistant Coach,$130 p/w,,,5,4,8,6,7,7,14,12,16,Fairly Loyal,Rodrigo Ferro
FrA,,-,Head of Youth Development,-,,,5,7,5,5,5,7,7,12,15,Fairly Ambitious,Dominic Peitz
FrA,,-,Assistant Coach,-,,,6,6,7,3,5,5,8,14,14,Perfectionist,Matthias Henn
FrA,,-,Head Coach,-,,,7,7,7,8,6,6,7,15,13,Jovial,Rodrigo Marín
FrA,,-,Head Coach,-,,,6,5,7,5,6,6,8,12,14,Fickle,Luis Rosa
FrA,,-,Head Coach,-,,,7,7,7,7,7,6,7,12,12,Temperamental,Ricardo Silva
FrA,,-,Coach,-,,,4,6,1,1,1,1,7,15,15,Resolute,Daniel Frahn
Ama,Castro Daire,Assistant Coach,Assistant Coach,N/A,,,7,6,6,6,5,7,6,12,12,Balanced,Fábio Fontes
FrA,,-,Head Coach,-,,,7,7,7,7,6,5,7,20,19,Determined,Marco Antonio Herrera
Ama,União Penacova,Assistant Coach,Assistant Coach,N/A,,,4,5,2,7,7,3,7,15,12,Unambitious,Henrique Martins
Ama,Sp. Viana Alentejo,Assistant Coach,Assistant Coach,N/A,,,5,6,7,9,8,6,12,10,15,Fairly Professional,Jorge Max Carvalho
FrA,,-,Head Coach,-,,,7,10,8,7,8,8,9,12,12,Fairly Ambitious,Jon Sánchez
,Erzgebirge Aue,Scout,Scout,$775 p/w,,,4,1,1,1,1,1,1,15,13,Fairly Determined,Robert Fleßers
FrA,,-,Coach,-,,,8,11,8,8,8,10,9,12,13,Light-Hearted,Santiago Moreno
FrA,,-,Sports Scientist,-,,,5,7,3,5,7,5,7,12,13,Fairly Ambitious,Nunzio Pecci
FrA,,-,Coach,-,,,5,8,8,9,7,7,8,12,14,Balanced,Juan Carlos Hernández
FrA,,-,Loan Manager,-,,,6,2,1,1,1,2,7,18,17,Driven,Fabio Mazzeo
FrA,,-,Head Coach,-,,,6,6,5,5,7,5,10,12,13,Balanced,Carlitos
,Sant Andreu,Scout,Scout,$150 p/w,,,1,5,4,5,5,3,1,14,14,Fairly Professional,Manel
FrA,,-,Head of Youth Development,-,,,4,6,4,5,5,4,9,18,12,Perfectionist,Jamie Vardy
FrA,,-,Head Coach,-,,,5,5,3,3,5,5,9,12,14,Balanced,Dorian Bertrand
FrA,,-,Assistant Coach,-,,,7,7,4,5,7,7,6,12,18,Fairly Ambitious,Aleksandro Petrovic
,Rio Ave,Under 19-Bs Head Coach,Coach,"$4,200 p/w",,,5,8,13,12,11,9,16,16,10,Perfectionist,Rômulo
FrA,,-,Head Coach,-,,,2,7,6,7,6,2,12,14,11,Fairly Professional,Callum Gittings
FrA,,-,General Manager,-,,,3,5,6,3,7,4,7,15,17,Fairly Determined,Alex Woodyard
FrA,,-,General Manager,-,,,4,4,8,6,7,6,8,15,17,Fairly Determined,Iván Casado
FrA,,-,Goalkeeping Coach,-,,,3,1,3,3,2,5,7,12,17,Unambitious,Jesús Muñoz
,Tafalla,Under 19s Head Coach,Coach,$425 p/w,,,8,7,8,9,8,9,12,12,15,Balanced,Fran
FrA,,-,Data Analyst,-,,,4,3,2,7,2,5,3,12,16,Fairly Professional,Fabien Guillot
FrA,,-,Scout,-,,,2,5,5,5,5,4,3,15,14,Fairly Determined,Mané
FrA,,-,Physio,-,,,2,3,1,3,3,2,5,12,13,Fairly Ambitious,Xavier Marin
FrA,,-,Goalkeeping Coach,-,,,2,9,7,7,8,4,8,12,14,Light-Hearted,Unai Mancisidor
FrA,,-,Coach,-,,,6,8,9,8,10,8,7,12,13,Fairly Ambitious,Claude Lombard
FrA,,-,Head of Youth Development,-,,,5,3,3,7,4,3,11,17,15,Fairly Determined,Alfie May
FrA,,-,Head of Youth Development,-,,,2,5,4,5,6,6,5,13,16,Fickle,Will Worby
FrA,,-,Head of Youth Development,-,,,3,6,1,6,4,3,12,12,6,Balanced,Luke Freeman
FrA,,-,Head of Youth Development,-,,,2,2,3,8,8,2,11,16,14,Fairly Determined,Vincenzo Sarno
FrA,,-,Coach,-,,,4,9,8,7,7,7,13,11,16,Fickle,Chris Barrett
FrA,,-,Coach,-,,,6,7,8,8,6,7,14,12,8,Mercenary,Connor Dempsey
FrA,,-,Assistant Coach,-,,,8,4,4,8,5,9,8,12,20,Balanced,Matti Lund Nielsen
FrA,,-,Scout,-,,,6,1,2,3,3,3,3,14,15,Fairly Ambitious,José Higón
,R. Bouzas,Assistant Coach,Assistant Coach,$500 p/w,,,3,4,4,9,3,5,10,19,13,Perfectionist,Pedro Dorronsoro
FrA,,-,Head Coach,-,,,9,2,7,8,6,7,7,12,15,Fairly Ambitious,Sam Baines
FrA,,-,Head of Youth Development,-,,,5,4,7,5,5,2,7,15,12,Light-Hearted,Nils Teixeira
FrA,,-,Head of Youth Development,-,,,6,4,7,2,5,7,7,13,13,Fairly Professional,Tony Jantschke
FrA,,-,General Manager,-,,,2,4,2,3,4,1,4,16,14,Fairly Determined,Ramón García
FrA,,-,Assistant Coach,-,,,10,5,2,7,4,7,8,12,14,Fairly Ambitious,Gaétan Krebs
FrA,,-,Loan Manager,-,,,4,2,1,2,2,3,6,14,14,Fairly Ambitious,Nabil El Zhar
Ama,AS Echiré Saint-Gelais,Assistant Coach,Assistant Coach,N/A,,,7,6,4,6,3,5,8,13,14,Fairly Professional,Tristan Lahaye
FrA,,-,Coach,-,,,8,8,5,5,8,6,9,12,13,Balanced,Mehmet Ekici
FrA,,-,Head of Youth Development,-,,,4,8,2,2,6,6,6,14,14,Balanced,Alassane N'Diaye
FrA,,-,Head of Youth Development,-,,,5,6,2,6,6,6,7,18,14,Driven,Lucas Castro
FrA,,-,General Manager,-,,,2,2,2,3,2,3,8,19,13,Determined,Javi Sánchez
FrA,,-,Loan Manager,-,,,3,4,6,1,2,4,8,13,14,Fairly Ambitious,Dani Barba
FrA,,-,General Manager,-,,,1,5,7,4,5,4,9,18,13,Driven,Eneko Satrustegui
FrA,,-,Coach,-,,,8,4,10,9,6,5,9,14,13,Jovial,Thiago Carleto
FrA,,-,Assistant Coach,-,,,6,7,7,6,5,5,7,14,12,Balanced,Auremir
FrA,,-,Data Analyst,-,,,8,1,4,3,3,5,2,18,16,Determined,Miguel Ángel Urkiza
Wnt,,-,Assistant Coach,-,,,8,2,8,7,3,4,8,12,13,Fairly Professional,Esteban Saveljich
FrA,,-,Head Coach,-,,,3,6,2,8,5,2,12,15,7,Fairly Determined,John Rooney
FrA,,-,Data Analyst,-,,,4,5,7,4,7,6,1,13,14,Fairly Ambitious,Iván León
FrA,,-,Head of Youth Development,-,,,2,4,2,8,6,2,6,20,12,Driven,Troy Deeney
FrA,,-,Head Coach,-,,,5,5,3,3,5,2,11,12,19,Balanced,Gary Madine
FrA,,-,Head Coach,-,,,3,10,3,7,8,3,13,12,11,Ambitious,Kosta Barbarouses
FrA,,-,Coach,-,,,5,10,5,8,6,6,8,14,15,Fairly Professional,Jeffry Fortes
FrA,,-,Head of Youth Development,-,,,3,3,7,7,3,2,7,14,17,Balanced,Álex Blázquez
FrA,,-,Data Analyst,-,,,2,5,3,8,2,4,3,12,12,Fairly Ambitious,Luis Carlos Mena
FrA,,-,Data Analyst,-,,,2,8,6,2,5,1,4,14,13,Unambitious,Guillem Aguirre
FrA,,-,General Manager,-,,,4,1,2,1,2,2,7,15,14,Fairly Determined,Neil Taylor
FrA,,-,Head of Youth Development,-,,,6,3,6,6,5,6,5,12,15,Balanced,Birahima Traoré
FrA,,-,Head of Youth Development,-,,,6,5,1,8,3,7,12,13,15,Fairly Professional,Sergio Boix
FrA,,-,Head Coach,-,,,6,4,9,2,5,6,7,13,14,Balanced,Nama Fofana
FrA,,-,Data Analyst,-,,,7,2,2,3,8,7,8,12,17,Unambitious,Jorge Ochoa
FrA,,-,Data Analyst,-,,,4,1,9,2,2,3,1,20,15,Determined,Jerónimo Vergara
FrA,,-,Coach,-,,,7,6,7,8,5,7,9,13,14,Fairly Ambitious,Andrea Esposito
FrA,,-,Coach,-,,,8,8,7,8,5,8,8,16,16,Fairly Determined,Riccardo Colombo
FrA,,-,Assistant Coach,-,,,6,4,8,4,7,7,7,13,14,Fairly Ambitious,Luca Ceccarelli
Ama,Llanes,Under 19s Coach,Coach,N/A,,,8,6,6,6,5,8,15,8,12,Balanced,Dani Pedrón
FrA,,-,Head of Youth Development,-,,,4,4,4,8,4,8,7,13,12,Spirited,Stefan Strandberg
FrA,,-,Assistant Coach,-,,,4,8,3,6,7,4,7,17,12,Professional,Per Skjelbred
FrA,,-,Goalkeeping Coach,-,,,4,6,1,7,4,5,6,13,13,Balanced,Bartosz Bialkowski
,CD Guijuelo,Under 19s Head Coach,Coach,$500 p/w,,,9,11,10,9,11,8,14,10,14,Spirited,Antoni Hernández
,Salernitana,Under 18s Head Coach,Coach,"$1,300 p/w",,,10,10,10,10,10,9,15,11,15,Balanced,Omar Mannini
FrA,,-,Head Coach,-,,,7,7,9,7,9,8,8,13,17,Fairly Loyal,Fermín Parafita
FrA,,-,Scout,-,,,3,3,2,3,2,5,3,13,13,Balanced,Súper
FrA,,-,Head Coach,-,,,3,3,4,3,7,3,9,14,12,Balanced,Emmanuel Debordeaux
FrA,,-,General Manager,-,,,1,6,3,6,4,7,7,14,13,Fairly Sporting,Arnaud Archimbaud
FrA,,-,Scout,-,,,5,5,5,4,5,7,4,12,17,Fairly Ambitious,Pedro Beda
Wnt,,-,Coach,-,,,8,1,8,3,7,8,12,14,18,Fairly Ambitious,Florian Lejeune
,Alto Adige,Under 18s Head Coach,Coach,$825 p/w,,,11,10,9,13,5,12,18,17,13,Professional,Antonino Asta
FrA,,-,Head of Youth Development,-,,,5,5,6,2,6,2,6,13,16,Balanced,Christophe Vincent
FrA,,-,Head of Youth Development,-,,,1,7,1,6,3,1,12,16,12,Fairly Determined,Isaac
FrA,,-,Head of Youth Development,-,,,4,10,5,4,8,7,9,15,13,Fairly Determined,Laurent Abergel
FrA,,-,Scout,-,,,5,4,1,4,5,2,2,16,15,Fairly Determined,Paco Aguza
,Denia,Assistant Coach,Assistant Coach,$450 p/w,,,4,7,8,3,4,5,12,12,4,Balanced,Juanan
FrA,,-,Goalkeeping Coach,-,,,6,6,2,5,6,2,7,12,15,Fickle,David Davis
FrA,,-,Coach,-,,,7,7,8,8,6,6,8,12,13,Fickle,Luke Doherty
FrA,,-,Assistant Coach,-,,,5,3,8,7,8,5,10,12,12,Fairly Ambitious,Gerard Browne
FrA,,-,Head Coach,-,,,6,8,8,8,7,6,11,12,17,Fairly Ambitious,Fabian Delph
FrA,,-,General Manager,-,,,5,10,9,5,4,8,10,15,12,Fairly Determined,Victor Fuchs
,Alboraya,Head Coach,Assistant Coach,"$1,100 p/w",,,6,8,4,6,5,7,10,15,13,Fairly Determined,Víctor Banegas
,Ascoli,Coach,Coach,"$1,200 p/w",,,10,10,8,10,10,12,13,7,13,Balanced,Andrea Gennari
,Bologna,Under 18s Head Coach,Coach,"$1,700 p/w",,,3,14,9,11,13,9,18,15,11,Professional,Luca Vigiani
FrA,,-,Head Coach,-,,,6,2,6,7,8,7,11,12,18,Realist,Matteo Fiori
,Brescia,Scout,Scout,"$1,100 p/w",,,13,5,4,4,5,12,8,12,16,Fairly Professional,Ivo Pulga
Ret,,-,Head Coach,-,,,6,7,2,4,3,3,10,13,12,Balanced,Mehdi Bourabia
FrA,,-,Scout,-,,,4,5,3,1,7,5,1,14,17,Balanced,Slimane Sissoko
FrA,,-,Head Coach,-,,,6,6,6,6,3,3,6,19,17,Determined,Rubén Guti
FrA,,-,Assistant Coach,-,,,7,9,1,4,6,7,7,13,14,Balanced,Ayrton
FrA,,-,Head of Youth Development,-,,,5,5,6,2,3,5,7,15,13,Resolute,Vincent Pajot
FrA,,-,Head Coach,-,,,6,8,3,6,5,3,10,17,14,Fairly Determined,Javi Ruiz
FrA,,-,Head Coach,-,,,7,4,5,4,5,7,8,13,14,Fairly Ambitious,Adam Susac
FrA,,-,Head Coach,-,,,6,8,6,8,9,5,10,13,12,Balanced,Iñaki San Martín
FrA,,-,Scout,-,,,6,7,7,2,3,6,2,18,18,Driven,Jaime Agujetas
,Real Avilés,Under 19s Head Coach,Coach,$475 p/w,,,7,8,8,8,8,8,16,12,13,Balanced,Nacho Azpiazu
FrA,,-,Assistant Coach,-,,,4,3,1,1,2,1,9,12,18,Balanced,Roberto Ubis
,Bologna,Under 20s Head Coach,Coach,"$3,400 p/w",,,9,10,9,12,11,13,11,12,12,Fairly Ambitious,Emanuele Troise
FrA,,-,Coach,-,,,8,6,8,6,8,6,12,13,11,Professional,Josip Pivaric
FrA,,-,Head of Youth Development,-,,,7,5,5,4,3,3,5,15,15,Fairly Determined,Yoric Ravet
FrA,,-,Coach,-,,,5,6,4,5,7,4,7,13,15,Balanced,Mathias Autret
FrA,,-,Coach,-,,,4,6,4,10,8,3,12,15,12,Fairly Determined,Nicolas De Préville
FrA,,-,Head Coach,-,,,8,5,7,8,11,10,9,12,14,Temperamental,Turgay Aydın
FrA,,-,Head of Youth Development,-,,,4,6,4,6,7,3,9,16,15,Fairly Determined,Ante Erceg
,Cagliari,Under 18s Head Coach,Coach,"$1,900 p/w",,,11,4,13,6,9,11,18,13,13,Model Professional,Martino Melis
FrA,,-,Assistant Coach,-,,,5,2,5,5,1,4,10,14,16,Balanced,Tomas Kosut
FrA,,-,Head of Youth Development,-,,,1,7,3,5,8,2,8,14,13,Balanced,Martin Braithwaite
FrA,,-,Scout,-,,,6,2,2,2,3,5,3,13,12,Balanced,Valentin Eysseric
FrA,,-,Head of Youth Development,-,,,6,4,7,6,1,2,5,13,13,Fairly Sporting,Benoît Patin
FrA,,-,Coach,-,,,4,7,8,7,8,8,6,17,13,Fairly Determined,Dave Roberts
FrA,,-,General Manager,-,,,2,5,1,4,3,1,3,14,17,Fairly Professional,Javi Pérez
FrA,,-,Head of Youth Development,-,,,4,5,5,3,6,3,7,16,14,Fairly Determined,Alex MacDonald
,Montpellier HSC,Under 19s Head Coach,Coach,"$3,000 p/w",,,8,11,11,11,13,11,17,12,4,Fairly Loyal,Frédéric Garny
FrA,,-,Head Coach,-,,,5,7,3,8,5,2,7,16,14,Fairly Determined,Suk Hyun-Jun
FrA,,-,Scout,-,,,6,1,1,1,1,1,1,13,13,Fairly Ambitious,Nicolas Diguiny
FrA,,-,Assistant Coach,-,,,5,4,2,2,7,5,12,8,12,Balanced,Nando Copete
FrA,,-,Head Coach,-,,,7,5,3,3,7,6,7,13,17,Fairly Ambitious,Ronny Rodelin
,G. Ceuta,Head Coach,Head Coach,$825 p/w,,,5,7,5,5,5,8,10,13,18,Balanced,Juan Gómez
FrA,,-,Goalkeeping Coach,-,,,2,5,3,9,3,2,8,12,15,Fickle,Adam Earl
FrA,,-,Goalkeeping Coach,-,,,5,3,7,6,4,7,7,12,16,Fairly Ambitious,Steve Green
FrA,,-,Assistant Coach,-,,,7,6,5,3,7,8,8,15,12,Fairly Determined,Bakary Koné
FrA,,-,Head Coach,-,,,2,5,3,3,8,2,12,14,17,Balanced,Gil Muntadas
FrA,,-,Assistant Coach,-,,,2,8,9,7,4,2,9,12,12,Fairly Professional,Warren Burrell
FrA,,-,Goalkeeping Coach,-,,,5,4,2,3,7,8,6,12,19,Fairly Professional,Wes Foderingham
FrA,,-,General Manager,-,,,3,2,3,3,1,3,5,12,15,Fairly Professional,Simon Heslop
FrA,,-,Coach,-,,,5,8,5,3,5,5,9,12,14,Balanced,Craig Eastmond
FrA,,-,Head Coach,-,,,5,5,10,8,5,1,9,16,15,Fairly Determined,Damián
FrA,,-,Assistant Coach,-,,,6,7,3,5,9,3,9,17,13,Resolute,Hernán Pérez
FrA,,-,Coach,-,,,5,8,8,8,9,6,8,17,14,Resolute,Billy Kee
FrA,,-,Goalkeeping Coach,-,,,5,2,1,4,4,4,7,13,14,Fairly Professional,Niclas Heimann
FrA,,-,Coach,-,,,6,5,9,7,7,4,8,14,18,Balanced,Sardi
FrA,,-,General Manager,-,,,1,1,2,2,2,2,5,14,15,Balanced,David Davis
FrA,,-,Assistant Coach,-,,,4,8,3,3,7,4,9,13,14,Balanced,Harry Bunn
Ama,Móstoles,Assistant Coach,Assistant Coach,N/A,,,5,3,5,7,7,4,13,9,13,Fickle,Jose Luque
FrA,,-,Fitness Coach,-,,,3,6,6,7,1,2,9,13,12,Balanced,Alan
,Formentera,Assistant Coach,Assistant Coach,$180 p/w,,,5,6,7,3,5,7,14,12,13,Balanced,José María Fernández
,Sunderland,Head of Youth Development,Head of Youth Development,"$1,600 p/w",,,2,4,7,5,7,3,12,17,13,Fairly Determined,Paul Reid
,Monzón,Assistant Coach,Assistant Coach,$160 p/w,,,4,7,8,6,7,10,12,8,13,Fairly Sporting,Antonio Riera
,Tuilla,Assistant Coach,Assistant Coach,$170 p/w,,,8,8,6,8,8,8,9,13,13,Fairly Professional,Lucas Lorenzo
,Bezana,Assistant Coach,Assistant Coach,$130 p/w,,,4,2,3,6,4,4,8,19,19,Determined,Joel Martí
FrA,,-,Head of Youth Development,-,,,3,7,2,4,7,2,8,12,14,Balanced,Aitor Chapartegui
FrA,,-,Head Coach,-,,,8,5,4,6,6,5,18,14,10,Fairly Sporting,Higinio Rubio
FrA,,-,Head of Youth Development,-,,,7,7,3,7,4,6,7,13,20,Balanced,Alassane N'Diaye
FrA,,-,Head Coach,-,,,4,1,1,2,1,1,6,16,18,Fairly Determined,Milan Borjan
FrA,,-,Scout,-,,,5,3,2,2,1,3,3,12,18,Fairly Ambitious,Eduardo Vargas
FrA,,-,Assistant Coach,-,,,6,7,8,4,6,6,13,7,14,Fairly Professional,Marcos Huertas
,Berceo,Head Coach,Head Coach,$325 p/w,,,4,7,4,7,5,8,14,13,12,Balanced,Fran Francés
FrA,,-,Loan Manager,-,,,5,4,4,7,3,3,5,13,12,Jovial,Daniel Jesús Llera
,Beasain,Head of Youth Development,Head of Youth Development,$425 p/w,,,6,4,3,7,4,4,9,12,16,Balanced,Iván Claver
,Real Zaragoza,Under 19s Head Coach,Coach,"$2,200 p/w",,,11,13,10,12,9,12,11,13,17,Fairly Loyal,Mario Cotelo
FrA,,-,Assistant Coach,-,,,6,5,5,8,6,7,13,7,14,Fairly Loyal,Manuel Collado
,Arnedo,Assistant Coach,Assistant Coach,$200 p/w,,,8,5,7,6,10,7,12,12,7,Fairly Ambitious,Ignacio López
,Tenisca,Assistant Coach,Assistant Coach,$160 p/w,,,5,5,6,6,4,7,15,8,16,Fairly Professional,Agustín Calzado
FrA,,-,Head Coach,-,,,6,3,7,6,8,7,15,12,7,Mercenary,Adri Rico
FrA,,-,Head Coach,-,,,7,7,7,8,8,8,12,11,12,Professional,Peter Andersson
FrA,,-,Scout,-,,,5,8,5,4,3,7,5,16,16,Fairly Determined,Dani Gallardo
FrA,,-,Head Coach,-,,,2,8,5,2,5,2,8,12,12,Fairly Professional,Iza
FrA,,-,Assistant Coach,-,,,4,7,1,8,6,3,12,14,9,Fairly Ambitious,Dillon Powers
FrA,,-,Goalkeeping Coach,-,,,2,5,5,6,4,2,7,12,15,Balanced,Connor Roberts
FrA,,-,Scout,-,,,5,2,2,1,1,3,3,12,12,Balanced,Dani Pérez
FrA,,-,Loan Manager,-,,,5,3,1,3,2,4,9,12,18,Balanced,Fran
Ama,AS Illzach-Modenheim,Head Coach,Head Coach,N/A,,,5,5,2,2,3,4,13,14,6,Fairly Sporting,Olivier Rambo
,Stade Brestois 29,Stade Brestois 29 2 Head Coach,Coach,"$3,100 p/w",,,8,8,11,6,9,12,17,11,17,Spirited,Laurent David
FrA,,-,Coach,-,,,7,9,4,9,7,5,10,16,13,Professional,Felipe Caicedo
,OGC Nice,Under 19s Head Coach,Coach,"$3,300 p/w",,,11,11,12,12,12,12,14,13,17,Fairly Professional,Franck Haise
FrA,,-,Goalkeeping Coach,-,,,1,1,2,6,1,2,9,13,17,Fairly Professional,Mark Halstead
FrA,,-,Head Coach,-,,,4,1,2,8,3,2,8,19,14,Driven,Brais Pereiro
FrA,,-,Head Coach,-,,,2,8,8,10,5,2,13,17,8,Fairly Determined,Francisco Tena
,Atalanta,Under 18s Head Coach,Coach,"$2,000 p/w",,,9,8,9,9,9,12,18,14,14,Fairly Sporting,Giovanni Bosi
FrA,,-,Scout,-,,,3,3,3,1,1,3,3,15,15,Fairly Determined,Mikel Borja
FrA,,-,Head Coach,-,,,8,6,6,6,5,6,7,15,13,Fairly Determined,Aberson Lopes de Souza
FrA,,-,Head Coach,-,,,3,3,8,5,3,1,12,17,8,Fairly Determined,Jonathan Serrano
,Celta Vigo,Under 19s Head Coach,Coach,"$3,800 p/w",,,7,10,10,10,13,10,17,12,17,Balanced,Jorge Cuesta
FrA,,-,Head of Youth Development,-,,,6,2,7,5,3,5,5,13,15,Balanced,Ashley Eastham
FrA,,-,Head Coach,-,,,6,7,5,5,5,4,7,17,16,Fairly Determined,Cagigas
FrA,,-,Coach,-,,,7,8,5,6,6,4,10,14,16,Fairly Loyal,Rhys Bennett
FrA,,-,Head of Youth Development,-,,,5,5,2,7,6,5,8,12,12,Fairly Professional,Sammy Ameobi
FrA,,-,Scout,-,,,3,1,1,1,2,1,1,14,14,Fairly Professional,Íñigo Orozco
FrA,,-,Assistant Coach,-,,,6,7,2,7,2,3,7,14,12,Balanced,Marco Armellino
FrA,,-,Assistant Coach,-,,,3,6,6,4,3,3,9,12,16,Fairly Loyal,Nathan Byrne
FrA,,-,Scout,-,,,4,1,2,1,1,1,1,12,12,Ambitious,Nahki Wells
,RCD Mallorca,Under 19s Head Coach,Coach,"$2,800 p/w",,,13,11,15,13,12,12,16,12,12,Balanced,Narciso Palancares
FrA,,-,Head Coach,-,,,5,2,3,6,4,2,8,13,16,Balanced,Sergi Arranz
FrA,,-,Scout,-,,,2,1,2,2,2,3,1,17,19,Fairly Determined,Álex Plà
FrA,,-,Head Coach,-,,,4,5,1,4,2,1,1,13,12,Balanced,Gearóid Morrissey
FrA,,-,Coach,-,,,3,5,3,2,4,5,6,12,14,Balanced,Karim Laribi
FrA,,-,Head Coach,-,,,6,4,3,4,3,3,9,13,16,Balanced,Martín Lamelas
FrA,,-,Head Coach,-,,,6,1,4,8,1,5,5,18,13,Determined,Óscar Amat
FrA,,-,Scout,-,,,3,1,2,2,1,2,2,16,12,Fairly Determined,Carles Guzmán
FrA,,-,Head of Youth Development,-,,,1,1,1,1,2,3,2,17,13,Fairly Determined,Álex Moreno
FrA,,-,Scout,-,,,2,1,1,1,1,1,1,13,12,Fairly Loyal,Raúl Ruiz
FrA,,-,Coach,-,,,6,6,2,7,3,2,7,14,16,Fairly Loyal,Manfred Starke
FrA,,-,Head Coach,-,,,6,2,3,4,3,3,6,15,12,Fairly Determined,Carlos Moreno
FrA,,-,Goalkeeping Coach,-,,,3,1,1,1,6,3,3,14,17,Fairly Professional,Yann Sommer
